Time (s),Arm Angle (deg),Weight Rel Angle (deg),Sling Rel Angle (deg),Arm Omega (deg/s),Weight Rel Omega (deg/s),Proj X (m),Proj Y (m),Proj VX (m/s),Proj VY (m/s),Normal Force (N),Energy Eff,Range Eff,Check Function, is released
0.0100,-29.9818,29.9894,-137.6913,3.6680,-2.1347,0.6024,0.1000,0.2708,0.0000,29.4301,0.000000,5.172259,1.972605e-8,0
0.0200,-29.9266,29.9572,-137.6822,7.3736,-4.2972,0.6050,0.1000,0.2698,-0.0001,29.4285,-0.000024,5.191513,3.501286e-6,0
0.0300,-29.8343,29.9034,-137.6734,11.0779,-6.4710,0.6076,0.1000,0.2707,0.0000,29.4337,-0.000001,5.173576,5.379997e-5,0
0.0400,-29.7050,29.8278,-137.6651,14.7802,-8.6618,0.6101,0.1000,0.4142,-0.0019,29.3494,0.000842,3.377219,8.549897e-6,0
0.0500,-29.5387,29.7301,-137.6518,18.4444,-10.8545,0.6141,0.1000,0.7374,0.0000,29.5291,0.002518,1.899540,4.015362e-1,0
0.0600,-29.3366,29.6109,-137.6268,22.0453,-13.0397,0.6214,0.1000,1.5291,-0.0207,26.8626,0.008323,0.902516,2.668479e-4,0
0.0700,-29.0977,29.4691,-137.5700,25.7376,-15.3145,0.6365,0.1000,1.8798,0.0000,30.4913,0.009269,0.745150,1.684467e-2,0
0.0800,-28.8219,29.3045,-137.4990,29.4251,-17.6286,0.6552,0.1000,2.0285,-0.0534,0.0000,0.008252,0.664348,1.617815e-2,0
0.0900,-28.5092,29.1164,-137.4189,33.1069,-19.9875,0.6754,0.1000,2.1251,0.0000,34.4383,0.007132,0.659119,7.995400e-2,0
0.1000,-28.1598,28.9045,-137.3419,36.7824,-22.3968,0.6968,0.1006,2.3458,-0.0526,0.0000,0.007054,0.576562,8.350337e-2,0
0.1100,-27.7736,28.6683,-137.2288,40.4186,-24.8427,0.7218,0.1001,2.9543,-0.0802,32.0241,0.009252,0.447660,3.011557e+0,0
0.1200,-27.3518,28.4077,-137.0987,44.0081,-27.3257,0.7513,0.1000,3.0864,0.0000,0.0000,0.008465,0.453841,3.601715e-7,0
0.1300,-26.8934,28.1215,-136.9724,47.6595,-29.9176,0.7820,0.1008,3.4098,-0.0550,0.0000,0.008812,0.396455,8.021470e-2,0
0.1400,-26.3987,27.8092,-136.8010,51.2203,-32.5320,0.8165,0.1003,3.9699,-0.0955,49.9715,0.010290,0.329868,1.198048e+0,0
0.1500,-25.8688,27.4705,-136.5968,54.8012,-35.2406,0.8567,0.1000,4.1898,0.0000,34.2877,0.009964,0.334312,8.179583e-1,0
0.1600,-25.3030,27.1043,-136.3847,58.3089,-37.9924,0.8990,0.1005,4.5632,-0.0826,0.0000,0.010386,0.290000,5.574189e-1,0
0.1700,-24.7021,26.7100,-136.1213,61.8624,-40.8657,0.9459,0.1000,4.8142,0.0000,40.7713,0.010221,0.290956,3.616595e-1,0
0.1800,-24.0662,26.2869,-135.8430,65.3189,-43.7768,0.9952,0.1003,5.1209,-0.0278,10.5780,0.010307,0.268493,1.926587e-1,0
0.1900,-23.3957,25.8341,-135.5271,68.7816,-46.7952,1.0470,0.1000,5.3476,-0.0430,50.6823,0.010075,0.253998,1.209881e-1,0
0.2000,-22.6906,25.3506,-135.1826,72.2303,-49.9132,1.1016,0.1000,5.5503,0.0000,47.2362,0.009783,0.252367,5.509780e-2,0
0.2100,-21.9512,24.8356,-134.8109,75.6479,-53.1250,1.1583,0.1002,5.7651,-0.0578,11.2410,0.009565,0.233421,5.402036e-2,0
0.2200,-21.1777,24.2878,-134.4004,79.0548,-56.4487,1.2169,0.1000,5.9582,0.0000,50.5019,0.009295,0.235090,4.802199e-2,0
0.2300,-20.3702,23.7062,-133.9633,82.4488,-59.8878,1.2776,0.1002,6.1535,-0.0344,16.2902,0.009061,0.222318,3.105821e-2,0
0.2400,-19.5288,23.0896,-133.4869,85.8214,-63.4416,1.3401,0.1000,6.3435,0.0000,48.7306,0.008830,0.220810,2.982407e-2,0
0.2500,-18.6538,22.4369,-132.9802,89.1790,-67.1191,1.4045,0.1001,6.5254,-0.0101,32.5652,0.008600,0.213206,1.082452e-2,0
0.2600,-17.7453,21.7468,-132.4361,92.5196,-70.9238,1.4706,0.1000,6.7019,0.0000,46.2724,0.008375,0.209003,1.307381e-2,0
0.2700,-16.8035,21.0180,-131.8589,95.8444,-74.8610,1.5385,0.1000,6.8710,0.0033,43.2881,0.008150,0.204349,8.532338e-3,0
0.2800,-15.8285,20.2492,-131.2477,99.1573,-78.9382,1.6080,0.1000,7.0309,0.0027,43.7441,0.007923,0.199644,8.374996e-3,0
0.2900,-14.8204,19.4388,-130.6034,102.4586,-83.1602,1.6791,0.1001,7.1850,0.0021,42.6030,0.007701,0.195312,8.669497e-3,0
0.3000,-13.7793,18.5855,-129.9270,105.7497,-87.5328,1.7517,0.1001,7.3344,0.0017,41.4833,0.007486,0.191289,8.965679e-3,0
0.3100,-12.7054,17.6876,-129.2202,109.0313,-92.0608,1.8258,0.1001,7.4835,0.0013,40.2889,0.007286,0.187439,9.441570e-3,0
0.3200,-11.5987,16.7437,-128.4843,112.3030,-96.7487,1.9014,0.1001,7.6370,0.0010,39.0868,0.007109,0.183640,1.017134e-2,0
0.3300,-10.4594,15.7521,-127.7206,115.5649,-101.6006,1.9786,0.1001,7.8004,0.0007,37.6565,0.006961,0.179763,1.079524e-2,0
0.3400,-9.2875,14.7111,-126.9299,118.8167,-106.6207,2.0575,0.1001,7.9814,0.0005,35.7230,0.006853,0.175663,1.134728e-2,0
0.3500,-8.0831,13.6191,-126.1121,122.0589,-111.8131,2.1383,0.1001,8.1885,0.0003,32.8060,0.006794,0.171199,1.216616e-2,0
0.3600,-6.8463,12.4743,-125.2664,125.2929,-117.1830,2.2214,0.1001,8.4323,0.0001,28.1093,0.006797,0.166230,1.339299e-2,0
0.3700,-5.5772,11.2748,-124.3902,128.5221,-122.7367,2.3071,0.1001,8.7251,-0.0000,20.4321,0.006877,0.160637,1.557414e-2,0
0.3800,-4.2759,10.0189,-123.4791,131.7528,-128.4832,2.3961,0.1001,9.0816,-0.0001,7.8442,0.007051,0.154319,1.930532e-2,0
0.3900,-2.9422,8.7045,-122.5270,134.9922,-134.4326,2.4890,0.1002,9.5228,0.0139,0.0000,0.007347,0.148677,2.502459e-2,0
0.4000,-1.5760,7.3295,-121.5281,138.2457,-140.5938,2.5869,0.1007,10.0766,0.1167,0.0000,0.007808,0.151536,3.268052e-2,0
0.4100,-0.1772,5.8919,-120.4766,141.5095,-146.9673,2.6911,0.1030,10.7963,0.3870,0.0000,0.008530,0.172111,4.249117e-2,0
0.4200,1.2542,4.3895,-119.3606,144.7624,-153.5364,2.8037,0.1095,11.7732,0.9785,0.0000,0.009713,0.231213,5.503441e-2,0
0.4300,2.7179,2.8207,-118.1623,147.9685,-160.2672,2.9277,0.1246,13.0638,2.1405,0.0000,0.011635,0.357162,6.938551e-2,0
0.4400,4.2135,1.1836,-116.8732,151.1632,-167.1915,3.0651,0.1543,14.3688,3.8470,0.0000,0.014041,0.524013,7.648426e-2,0
0.4500,5.7416,-0.5243,-115.5148,154.4952,-174.4598,3.2135,0.2011,15.2195,5.4639,0.0000,0.015889,0.656404,6.855834e-2,0
0.4600,7.3040,-2.3070,-114.1174,158.0168,-182.1398,3.3680,0.2622,15.6211,6.6969,0.0000,0.016836,0.744510,5.470711e-2,0
0.4700,8.9025,-4.1685,-112.7000,161.7005,-190.2196,3.5251,0.3342,15.7741,7.6660,0.0000,0.017222,0.807620,4.258247e-2,0
0.4800,10.5385,-6.1127,-111.2763,165.5188,-198.6845,3.6830,0.4152,15.7868,8.5351,0.0000,0.017347,0.859494,3.685239e-2,0
0.4900,12.2132,-8.1434,-109.8598,169.4458,-207.5167,3.8405,0.5051,15.6921,9.4722,0.0000,0.017428,0.908642,4.276700e-2,0
0.5000,13.9276,-10.2641,-108.4677,173.4398,-216.6761,3.9964,0.6057,15.4676,10.7148,0.0000,0.017704,0.959830,5.911343e-2,0
0.5100,15.6821,-12.4778,-107.1184,177.4700,-226.1277,4.1493,0.7213,15.0734,12.4912,0.0000,0.018481,1.004399,7.505647e-2,0
0.5200,17.4775,-14.7881,-105.8119,181.6633,-236.0230,4.2976,0.8563,14.6082,14.4690,0.0000,0.019672,1.019629,7.034878e-2,0
0.5300,19.3166,-17.2006,-104.5155,186.2112,-246.6118,4.4418,1.0092,14.2352,16.0287,0.0000,0.020664,1.011778,5.005912e-2,0
0.5400,21.2030,-19.7229,-103.1961,191.1430,-257.9620,4.5826,1.1755,13.9503,17.1722,0.0000,0.021301,0.997571,3.890429e-2,0
0.5500,23.1406,-22.3624,-101.8399,196.4377,-270.0777,4.7208,1.3521,13.6883,18.1413,0.0000,0.021775,0.980609,4.042881e-2,0
0.5600,25.1330,-25.1270,-100.4469,202.0945,-282.9839,4.8563,1.5384,13.3897,19.1234,0.0000,0.022277,0.958683,4.217324e-2,0
0.5700,27.1838,-28.0249,-99.0231,208.1356,-296.7334,4.9883,1.7350,13.0043,20.2110,0.0000,0.022904,0.928661,3.760104e-2,0
0.5800,29.2971,-31.0647,-97.5776,214.5953,-311.3951,5.1160,1.9429,12.4979,21.3999,0.0000,0.023641,0.888732,3.005176e-2,0
0.5900,31.4771,-34.2559,-96.1220,221.4781,-326.9918,5.2378,2.1633,11.8336,22.6838,0.0000,0.024478,0.836727,3.215894e-2,0
0.6000,33.7277,-37.6072,-94.6696,228.6753,-343.3660,5.3517,2.3975,10.8704,24.2405,0.0000,0.025645,0.761371,4.615928e-2,0
0.6100,36.0505,-41.1239,-93.2290,235.8300,-359.9432,5.4527,2.6508,9.1742,26.6109,0.0000,0.027941,0.627376,6.527056e-2,0
0.6200,38.4437,-44.8057,-91.7882,242.8883,-376.5566,5.5319,2.9329,6.6355,29.7820,0.0000,0.031827,0.431309,8.130812e-2,0
0.6300,40.9121,-48.6616,-90.3006,251.0261,-395.0263,5.5875,3.2431,4.6113,32.0772,0.0000,0.034941,0.285983,7.993590e-2,0
0.6400,43.4682,-52.7131,-88.7309,260.3567,-415.5683,5.6260,3.5719,3.1378,33.6139,0.0000,0.037034,0.187910,7.023816e-2,0
0.6500,46.1218,-56.9774,-87.0696,270.4513,-437.4560,5.6502,3.9152,1.6620,35.0807,0.0000,0.039205,0.095996,6.366307e-2,0
0.6600,48.8781,-61.4636,-85.3038,280.8130,-459.7396,5.6579,4.2747,-0.2012,36.8916,0.0000,0.042345,-0.011073,7.738695e-2,0
0.6700,51.7367,-66.1692,-83.3948,290.7989,-481.1038,5.6446,4.6544,-2.5225,39.0939,0.0000,0.046777,-0.130404,9.283562e-2,0
0.6800,54.6901,-71.0769,-81.2806,299.6255,-499.8750,5.6065,5.0572,-5.1233,41.4705,0.0000,0.052238,-0.246827,8.774418e-2,0
0.6900,57.7233,-76.1532,-78.8980,306.6980,-514.6432,5.5418,5.4836,-7.7876,43.7446,0.0000,0.058156,-0.349895,8.394055e-2,0
0.7000,60.8165,-81.3521,-76.2180,311.4567,-524.0600,5.4511,5.9309,-10.3452,45.6476,0.0000,0.063786,-0.437056,9.010396e-2,0
0.7100,63.9405,-86.6079,-73.2421,312.6471,-525.5628,5.3341,6.3956,-13.1406,47.2747,0.0000,0.069529,-0.523197,9.503083e-2,0
0.7200,67.0533,-91.8287,-69.9544,309.0536,-516.7882,5.1844,6.8760,-17.1018,48.7736,0.0000,0.076710,-0.633226,1.228571e-1,0
0.7300,70.1052,-96.9089,-66.3026,300.6646,-497.8095,4.9838,7.3691,-23.4464,49.6251,0.0000,0.086189,-0.783675,1.953288e-1,0
0.7400,73.0576,-101.7648,-62.2811,289.8072,-473.1877,4.7130,7.8620,-29.4088,48.8794,0.0000,0.093162,-0.897536,2.291194e-1,1
0.7500,75.9015,-106.3701,-57.9838,278.7653,-447.4146,4.4192,8.3498,-29.3437,48.6731,0.0000,0.093065,-0.899363,2.019513e-1,1
0.7600,78.6305,-110.7068,-53.5975,266.9788,-419.7717,4.1261,8.8355,-29.2789,48.4677,0.0000,0.093120,-0.901203,1.536923e-1,1
